INDICADOR_x,PAIS,Año_x,VALOR,INDICADOR_y,Año_y,TASA %
PIB expresado en Millones de USD,Argentina,2015,644229,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2015,-2.07955716
PIB expresado en Millones de USD,Argentina,2015,644229,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2016,2.523715544
PIB expresado en Millones de USD,Argentina,2015,644229,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2017,-3.20226348
PIB expresado en Millones de USD,Argentina,2015,644229,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2018,1.129475052
PIB expresado en Millones de USD,Argentina,2015,644229,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2019,1.6745895
PIB expresado en Millones de USD,Argentina,2015,644229,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2020,3.099438
PIB expresado en Millones de USD,Argentina,2016,557134,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2015,-2.07955716
PIB expresado en Millones de USD,Argentina,2016,557134,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2016,2.523715544
PIB expresado en Millones de USD,Argentina,2016,557134,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2017,-3.20226348
PIB expresado en Millones de USD,Argentina,2016,557134,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2018,1.129475052
PIB expresado en Millones de USD,Argentina,2016,557134,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2019,1.6745895
PIB expresado en Millones de USD,Argentina,2016,557134,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2020,3.099438
PIB expresado en Millones de USD,Argentina,2017,642888,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2015,-2.07955716
PIB expresado en Millones de USD,Argentina,2017,642888,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2016,2.523715544
PIB expresado en Millones de USD,Argentina,2017,642888,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2017,-3.20226348
PIB expresado en Millones de USD,Argentina,2017,642888,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2018,1.129475052
PIB expresado en Millones de USD,Argentina,2017,642888,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2019,1.6745895
PIB expresado en Millones de USD,Argentina,2017,642888,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2020,3.099438
PIB expresado en Millones de USD,Argentina,2018,543355,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2015,-2.07955716
PIB expresado en Millones de USD,Argentina,2018,543355,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2016,2.523715544
PIB expresado en Millones de USD,Argentina,2018,543355,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2017,-3.20226348
PIB expresado en Millones de USD,Argentina,2018,543355,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2018,1.129475052
PIB expresado en Millones de USD,Argentina,2018,543355,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2019,1.6745895
PIB expresado en Millones de USD,Argentina,2018,543355,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2020,3.099438
PIB expresado en Millones de USD,Argentina,2019,449958,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2015,-2.07955716
PIB expresado en Millones de USD,Argentina,2019,449958,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2016,2.523715544
PIB expresado en Millones de USD,Argentina,2019,449958,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2017,-3.20226348
PIB expresado en Millones de USD,Argentina,2019,449958,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2018,1.129475052
PIB expresado en Millones de USD,Argentina,2019,449958,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2019,1.6745895
PIB expresado en Millones de USD,Argentina,2019,449958,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2020,3.099438
PIB expresado en Millones de USD,Argentina,2020,385611,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2015,-2.07955716
PIB expresado en Millones de USD,Argentina,2020,385611,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2016,2.523715544
PIB expresado en Millones de USD,Argentina,2020,385611,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2017,-3.20226348
PIB expresado en Millones de USD,Argentina,2020,385611,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2018,1.129475052
PIB expresado en Millones de USD,Argentina,2020,385611,Tasa de variación de la intensidad energética del PIB (Oferta primaria de energía/ PIB a precios constantes en dólares de 2010),2019,1.6745895
